trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1890,False,"{'a': 0.5, 'e': 0.58574287901822486}",30,10,-68.43374598954384,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",1
1891,False,"{'a': 0.5, 'e': 0.58533755735035797}",20,12,-5.9988854875270565,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1892,False,"{'a': 0.5, 'e': 0.5849320893481047}",20,12,4.912949817975795,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1893,False,"{'a': 0.5, 'e': 0.58452647511283229}",25,0,-118.30962996708999,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
1894,False,"{'a': 0.5, 'e': 0.58412071474594407}",25,11,-44.4305745849092,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
1895,False,"{'a': 0.5, 'e': 0.58371480834888023}",25,17,13.93922326629426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1896,False,"{'a': 0.5, 'e': 0.58330875602311727}",20,0,-77.53340796156095,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
1897,False,"{'a': 0.5, 'e': 0.58290255787016843}",25,9,-70.49021575432114,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
1898,False,"{'a': 0.5, 'e': 0.58249621399158302}",25,15,15.932527220532993,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1899,False,"{'a': 0.5, 'e': 0.58208972448894736}",25,0,-53.72478216490197,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
1900,False,"{'a': 0.5, 'e': 0.58168308946388347}",20,0,-19.177747232069848,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
1901,False,"{'a': 0.5, 'e': 0.58127630901805027}",25,0,-80.1088612854241,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
1902,False,"{'a': 0.5, 'e': 0.58086938325314286}",20,4,-27.997264775463055,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
1903,False,"{'a': 0.5, 'e': 0.58046231227089262}",25,1,-3.9097326475955034,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
1904,False,"{'a': 0.5, 'e': 0.58005509617306739}",20,0,-36.28519570864925,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
1905,False,"{'a': 0.5, 'e': 0.57964773506147116}",20,0,-122.04563990260293,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1906,False,"{'a': 0.5, 'e': 0.57924022903794403}",20,12,14.900227844134772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1907,False,"{'a': 0.5, 'e': 0.57883257820436285}",20,15,-0.8410355233886877,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1908,False,"{'a': 0.5, 'e': 0.57842478266263997}",20,0,-3.8630108118702053,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1909,False,"{'a': 0.5, 'e': 0.57801684251472452}",35,11,-3.6388395594885807,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
1910,False,"{'a': 0.5, 'e': 0.57760875786260146}",30,0,-84.4655792595932,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
1911,False,"{'a': 0.5, 'e': 0.57720052880829198}",25,0,-10.008128801549525,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
1912,False,"{'a': 0.5, 'e': 0.57679215545385321}",25,0,-5.203899460612131,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
1913,False,"{'a': 0.5, 'e': 0.57638363790137859}",25,0,-62.62166824176496,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
1914,False,"{'a': 0.5, 'e': 0.57597497625299754}",20,0,-28.366908059587473,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
1915,False,"{'a': 0.5, 'e': 0.57556617061087545}",25,0,-39.14433788162887,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
1916,False,"{'a': 0.5, 'e': 0.57515722107721357}",20,0,-162.61632214136893,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
1917,False,"{'a': 0.5, 'e': 0.57474812775424955}",20,0,-52.95552899716609,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
1918,False,"{'a': 0.5, 'e': 0.57433889074425659}",30,0,-19.996915664458726,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
1919,False,"{'a': 0.5, 'e': 0.57392951014954385}",25,0,-23.45613337488374,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
1920,False,"{'a': 0.5, 'e': 0.57351998607245669}",30,0,-82.59899742028699,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
1921,False,"{'a': 0.5, 'e': 0.57311031861537587}",25,4,-99.08158005889301,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 3}",1
1922,False,"{'a': 0.5, 'e': 0.57270050788071847}",25,0,-55.321919159532136,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
1923,False,"{'a': 0.5, 'e': 0.57229055397093698}",20,0,-45.90152222893586,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
1924,False,"{'a': 0.5, 'e': 0.57188045698852008}",25,5,10.522476666885547,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
1925,False,"{'a': 0.5, 'e': 0.57147021703599188}",25,0,-71.85827942242652,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
1926,False,"{'a': 0.5, 'e': 0.57105983421591244}",20,0,-13.960015237390554,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1927,False,"{'a': 0.5, 'e': 0.57064930863087726}",25,15,-28.677066871941527,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
1928,False,"{'a': 0.5, 'e': 0.57023864038351801}",20,0,-53.307589543662374,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1929,False,"{'a': 0.5, 'e': 0.56982782957650169}",20,0,-72.0135857506955,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
1930,False,"{'a': 0.5, 'e': 0.56941687631253091}",30,9,-41.13655249534896,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
1931,False,"{'a': 0.5, 'e': 0.56900578069434393}",20,0,-36.45635090378556,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1932,False,"{'a': 0.5, 'e': 0.56859454282471478}",25,2,-54.48543613923932,"{0: 19, 1: 0, 2: 0, 3: 4, 4: 0}",1
1933,False,"{'a': 0.5, 'e': 0.56818316280645287}",25,0,-18.685581856888763,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
1934,False,"{'a': 0.5, 'e': 0.56777164074240327}",20,0,-169.83162256675857,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
1935,False,"{'a': 0.5, 'e': 0.56735997673544647}",25,0,-32.12689484220574,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1936,False,"{'a': 0.5, 'e': 0.56694817088849836}",25,0,-55.034222937043424,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
1937,False,"{'a': 0.5, 'e': 0.56653622330451048}",25,0,-90.23822181755285,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1938,False,"{'a': 0.5, 'e': 0.56612413408646978}",30,0,-34.87580778786999,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
1939,False,"{'a': 0.5, 'e': 0.56571190333739851}",20,4,-41.79702584698799,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
1940,False,"{'a': 0.5, 'e': 0.56529953116035436}",20,10,-45.138987008882054,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",1
1941,False,"{'a': 0.5, 'e': 0.5648870176584303}",25,0,-37.35656566192925,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",1
1942,False,"{'a': 0.5, 'e': 0.56447436293475484}",30,0,-51.55680868059008,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
1943,False,"{'a': 0.5, 'e': 0.56406156709249144}",25,3,-8.13660192753229,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
1944,False,"{'a': 0.5, 'e': 0.56364863023483935}",20,14,9.456567458562407,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1945,False,"{'a': 0.5, 'e': 0.56323555246503254}",35,17,-27.514854844782874,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
1946,False,"{'a': 0.5, 'e': 0.56282233388634073}",25,0,-46.581532832795816,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
1947,False,"{'a': 0.5, 'e': 0.56240897460206818}",35,17,-0.8264753373187279,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
1948,False,"{'a': 0.5, 'e': 0.561995474715555}",25,0,-38.50985639584519,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
1949,False,"{'a': 0.5, 'e': 0.56158183433017606}",30,10,-0.10127501147644535,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
1950,False,"{'a': 0.5, 'e': 0.56116805354934141}",20,3,-11.843497086120781,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
1951,False,"{'a': 0.5, 'e': 0.5607541324764963}",20,8,-7.941037819703937,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1952,False,"{'a': 0.5, 'e': 0.56034007121512108}",20,13,12.601792283490546,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1953,False,"{'a': 0.5, 'e': 0.55992586986873094}",35,0,-55.57392424652877,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
1954,False,"{'a': 0.5, 'e': 0.55951152854087627}",20,0,2.344224678523811,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1955,False,"{'a': 0.5, 'e': 0.55909704733514232}",20,0,-148.07102547706117,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
1956,False,"{'a': 0.5, 'e': 0.55868242635514942}",20,8,-59.62716840775768,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
