trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.99613049808575016}",20,5,-94.04885034219058,"{0: 5, 1: 2, 2: 7, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.99604211356988748}",30,0,-140.2884829634268,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.99595273301199427}",20,0,-144.8428332995094,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.99586235650145094}",25,0,-169.46604450852655,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.99577098412863418}",25,0,-34.62564280914443,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.99567861598491625}",20,0,-47.06217036308544,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.99558525216266536}",30,0,-148.96015274055185,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.99549089275524527}",30,0,-148.9771418305339,"{0: 15, 1: 5, 2: 6, 3: 4, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.99539553785701529}",20,0,-54.60866716268845,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.99529918756333047}",20,0,-104.68558540526307,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.99520184197054096}",30,0,-167.94072449917627,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.99510350117599256}",25,0,-146.3390734266468,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.99500416527802582}",25,0,-248.80972917386248,"{0: 9, 1: 3, 2: 7, 3: 3, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.99490383437597663}",35,0,-110.66345239697964,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.99480250857017605}",25,0,-51.43028563613842,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.99470018796194981}",20,0,-144.4388935774982,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.99459687265361851}",20,0,-123.32398325956392,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-103.07232180178359,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.99438725835089647}",20,0,-147.76776516536822,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.99428095956612006}",30,5,-119.33583327378601,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-20.087643324737087,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.99406537926123006}",25,0,-61.00327475848884,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.99395609795669682}",25,0,-115.2791445617574,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.99384582269614852}",30,0,-135.55289687802107,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.99373455358986029}",30,0,-232.69117989513452,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
